gvkeyx,bkvlps,cshtrm,dvpsxm,dvrate,epsx12,prccm,prchm,prclm,datadate,conm,indextype,tic,spii,spmi,indexcat
000005,,,13.9334,167.2000,514.7500,10447.8900,11013.0500,10161.5100,30JUN2000,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,14.8030,167.2000,514.7500,10521.9800,10980.3400,10303.2800,31JUL2000,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,14.8030,167.2000,514.7500,11215.1000,11415.9900,10428.5800,31AUG2000,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,14.8040,177.6400,504.3900,10650.9200,11518.8300,10439.3100,30SEP2000,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,15.6000,177.6400,504.3900,10971.1400,11108.7900,9571.4000,31OCT2000,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,15.6000,177.6400,504.3900,10414.4900,11152.0200,10204.8000,30NOV2000,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,1315.1600,,15.6000,187.2000,485.1400,10786.8500,11044.7000,10158.1500,31DEC2000,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,14.5400,187.2000,485.1400,10887.3600,11224.4100,10325.7100,31JAN2001,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,14.5400,187.2000,485.1400,10495.2800,11140.0900,10225.1400,28FEB2001,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,14.5400,174.4800,457.9300,9878.7900,10940.4500,9047.5600,31MAR2001,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,14.7530,174.4800,457.9300,10734.9700,10973.1500,9303.4800,30APR2001,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,14.7530,174.4800,457.9300,10911.9400,11436.4200,10638.4800,31MAY2001,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,14.7540,177.0400,390.2300,10502.4000,11236.6800,10313.4000,30JUN2001,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,15.0100,177.0400,390.2300,10522.8100,10758.1400,10049.3800,31JUL2001,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,15.0100,177.0400,390.2300,9949.7500,10663.0700,9829.3500,31AUG2001,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,15.0000,180.0800,358.1800,8847.5600,10238.5000,7926.9300,30SEP2001,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,16.0560,180.0800,358.1800,9075.1400,9626.5400,8659.9000,31OCT2001,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,16.0570,180.0800,358.1800,9851.5600,10054.5800,8987.6100,30NOV2001,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,16.0570,192.6800,369.5100,10021.5000,10220.7800,9651.8700,31DEC2001,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,14.2100,192.6800,369.5100,9920.0000,10345.4000,9443.3200,31JAN2002,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,14.2100,192.6800,369.5100,10106.1300,10315.7200,9503.5200,28FEB2002,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,14.2100,170.5200,,10403.9400,10728.8700,10086.5100,31MAR2002,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,16.4533,170.5200,,9946.2200,10437.2900,9767.1500,30APR2002,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,16.4533,170.5200,,9925.2500,10400.6200,9749.8500,31MAY2002,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,16.4533,197.4400,,9243.2600,10016.0500,8831.9200,30JUN2002,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,14.6333,197.4400,,8736.5900,9433.0800,7489.5400,31JUL2002,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,14.6333,197.4400,,8663.5000,9129.1000,7991.4300,31AUG2002,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
